"No.","Time","D_Time","Source","Destination","Protocol","Length","Sequence num","Ack number","data len","Calculated window size","Info"
"115","12.243403s","0.000008s","192.168.0.41","192.168.0.42","TCP","1514","79641","2","2896","29312","33947 > 49200 [ACK] Seq=79641 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"116","12.243409s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","81089","2","4344","29312","33947 > 49200 [ACK] Seq=81089 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"117","12.243416s","0.000007s","192.168.0.41","192.168.0.42","TCP","1514","82537","2","5792","29312","33947 > 49200 [ACK] Seq=82537 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"118","12.243423s","0.000007s","192.168.0.41","192.168.0.42","TCP","1514","83985","2","7240","29312","33947 > 49200 [ACK] Seq=83985 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"119","12.243429s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","85433","2","8688","29312","33947 > 49200 [ACK] Seq=85433 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"120","12.243433s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","86881","2","10136","29312","33947 > 49200 [ACK] Seq=86881 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"121","12.243435s","0.000002s","192.168.0.42","192.168.0.41","TCP","66","2","83985","","148480","49200 > 33947 [ACK] Seq=2 Ack=83985 Win=148480 Len=0 TSval=4226904 TSecr=127201307"
"122","12.243438s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","88329","2","5792","29312","33947 > 49200 [ACK] Seq=88329 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"123","12.243444s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","89777","2","7240","29312","33947 > 49200 [ACK] Seq=89777 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"124","12.243449s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","91225","2","8688","29312","33947 > 49200 [ACK] Seq=91225 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"125","12.243455s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","92673","2","10136","29312","33947 > 49200 [ACK] Seq=92673 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"126","12.243461s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","94121","2","11584","29312","33947 > 49200 [ACK] Seq=94121 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"127","12.243467s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","95569","2","13032","29312","33947 > 49200 [ACK] Seq=95569 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"128","12.243479s","0.000012s","192.168.0.42","192.168.0.41","TCP","66","2","95569","","158208","49200 > 33947 [ACK] Seq=2 Ack=95569 Win=158208 Len=0 TSval=4226904 TSecr=127201307"
"129","12.243479s","0.000000s","192.168.0.41","192.168.0.42","TCP","1514","97017","2","2896","29312","33947 > 49200 [ACK] Seq=97017 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"130","12.243486s","0.000007s","192.168.0.41","192.168.0.42","TCP","1514","98465","2","4344","29312","33947 > 49200 [ACK] Seq=98465 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"131","12.243492s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","99913","2","5792","29312","33947 > 49200 [PSH, ACK] Seq=99913 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"132","12.243497s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","101361","2","7240","29312","33947 > 49200 [PSH, ACK] Seq=101361 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
