"No.","Time","Delta time","Source","Destination","Protocol","Length","Window size value","Info"
"1815","1.751411","0.000121","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [ACK] Seq=59061 Ack=1 Win=14600 Len=1428 TSval=437 TSecr=437"
"1816","1.751895","0.000484","10.3.8.2","10.1.2.2","TCP","62","730","50000 > 44187 [ACK] Seq=1 Ack=57633 Win=5840 Len=0 TSval=437 TSecr=437"
"1817","1.751895","0.000000","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [ACK] Seq=60489 Ack=1 Win=14600 Len=1428 TSval=437 TSecr=437"
"1818","1.752015","0.000120","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=61917 Ack=1 Win=14600 Len=1428 TSval=437 TSecr=437"
"1819","1.752916","0.000901","10.3.8.2","10.1.2.2","TCP","62","730","50000 > 44187 [ACK] Seq=1 Ack=60489 Win=5840 Len=0 TSval=438 TSecr=437"
"1820","1.752916","0.000000","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [ACK] Seq=63345 Ack=1 Win=14600 Len=1428 TSval=438 TSecr=438"
"1821","1.753036","0.000120","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [ACK] Seq=64773 Ack=1 Win=14600 Len=1428 TSval=438 TSecr=438"
"1822","1.753477","0.000441","10.3.8.2","10.1.2.2","TCP","62","730","50000 > 44187 [ACK] Seq=1 Ack=63345 Win=5840 Len=0 TSval=438 TSecr=437"
"1823","1.753477","0.000000","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [ACK] Seq=66201 Ack=1 Win=14600 Len=1428 TSval=438 TSecr=438"
"1824","1.753597","0.000120","10.1.2.2","10.3.8.2","TCP","944","1825","44187 > 50000 [PSH, ACK] Seq=67629 Ack=1 Win=14600 Len=870 TSval=438 TSecr=438"
"1825","1.754590","0.000993","10.3.8.2","10.1.2.2","TCP","62","730","50000 > 44187 [ACK] Seq=1 Ack=66201 Win=5840 Len=0 TSval=438 TSecr=438"
"1826","1.754982","0.000392","10.3.8.2","10.1.2.2","TCP","62","730","50000 > 44187 [ACK] Seq=1 Ack=68499 Win=5840 Len=0 TSval=438 TSecr=438"
"1827","1.754982","0.000000","10.1.2.2","10.3.8.2","TCP","62","1825","44187 > 50000 [FIN, ACK] Seq=68499 Ack=1 Win=14600 Len=0 TSval=438 TSecr=438"
"1834","1.792502","0.003259","10.3.8.2","10.1.2.2","TCP","62","730","50000 > 44187 [ACK] Seq=1 Ack=68500 Win=5840 Len=0 TSval=448 TSecr=438"
