Time,Source,Destination,Length,data len
4.077175s,10.1.2.1,10.2.2.1,1502,1428
4.077537s,10.2.2.1,10.1.2.1,62,
4.077537s,10.1.2.1,10.2.2.1,1502,1428
4.077900s,10.2.2.1,10.1.2.1,62,
4.077900s,10.1.2.1,10.2.2.1,1502,1428
4.078263s,10.2.2.1,10.1.2.1,62,
4.078263s,10.1.2.1,10.2.2.1,1502,1428
4.078626s,10.2.2.1,10.1.2.1,62,
4.078626s,10.1.2.1,10.2.2.1,1502,1428
4.078989s,10.2.2.1,10.1.2.1,62,
4.078989s,10.1.2.1,10.2.2.1,1502,1428
4.079351s,10.2.2.1,10.1.2.1,62,
4.079351s,10.1.2.1,10.2.2.1,1502,1428
4.079714s,10.2.2.1,10.1.2.1,62,
4.079714s,10.1.2.1,10.2.2.1,1502,1428
4.080077s,10.2.2.1,10.1.2.1,62,
4.080077s,10.1.2.1,10.2.2.1,1502,1428
4.080440s,10.2.2.1,10.1.2.1,62,
4.080440s,10.1.2.1,10.2.2.1,1502,1428
4.080803s,10.2.2.1,10.1.2.1,62,
4.080803s,10.1.2.1,10.2.2.1,1502,1428
4.081165s,10.2.2.1,10.1.2.1,62,
4.081165s,10.1.2.1,10.2.2.1,1502,1428
4.081528s,10.2.2.1,10.1.2.1,62,
4.081528s,10.1.2.1,10.2.2.1,1502,1428
4.081891s,10.2.2.1,10.1.2.1,62,
4.081891s,10.1.2.1,10.2.2.1,1502,1428
4.120037s,10.2.2.1,10.1.2.1,62,
4.120037s,10.1.2.1,10.2.2.1,1502,1428
4.160037s,10.2.2.1,10.1.2.1,62,
4.160037s,10.1.2.1,10.2.2.1,1502,1428
4.200037s,10.2.2.1,10.1.2.1,62,
4.200037s,10.1.2.1,10.2.2.1,1502,1428
4.240037s,10.2.2.1,10.1.2.1,62,
4.240037s,10.1.2.1,10.2.2.1,1502,1428
4.240157s,10.1.2.1,10.2.2.1,1502,1428
4.240576s,10.2.2.1,10.1.2.1,62,
4.240576s,10.1.2.1,10.2.2.1,1502,1428
4.240696s,10.1.2.1,10.2.2.1,1502,1428
4.240816s,10.1.2.1,10.2.2.1,1502,1428
4.241176s,10.2.2.1,10.1.2.1,62,
4.241176s,10.1.2.1,10.2.2.1,1502,1428
4.241297s,10.1.2.1,10.2.2.1,1502,1428
4.241417s,10.1.2.1,10.2.2.1,1502,1428
4.241657s,10.2.2.1,10.1.2.1,62,
4.241657s,10.1.2.1,10.2.2.1,1502,1428
4.241777s,10.1.2.1,10.2.2.1,1502,1428
4.241897s,10.1.2.1,10.2.2.1,1502,1428
4.241897s,10.2.2.1,10.1.2.1,62,
4.242018s,10.1.2.1,10.2.2.1,1502,1428
4.242138s,10.1.2.1,10.2.2.1,1502,1428
4.242258s,10.1.2.1,10.2.2.1,1502,1428
4.242258s,10.2.2.1,10.1.2.1,62,
4.242378s,10.1.2.1,10.2.2.1,1502,1428
4.242498s,10.1.2.1,10.2.2.1,1502,1428
4.242498s,10.2.2.1,10.1.2.1,62,
4.242618s,10.1.2.1,10.2.2.1,1502,1428
4.242739s,10.1.2.1,10.2.2.1,1502,1428
4.242739s,10.2.2.1,10.1.2.1,62,
4.242859s,10.1.2.1,10.2.2.1,1502,1428
4.242979s,10.1.2.1,10.2.2.1,1502,1428
4.242979s,10.2.2.1,10.1.2.1,62,
4.243099s,10.1.2.1,10.2.2.1,1502,1428
4.243219s,10.1.2.1,10.2.2.1,1502,1428
4.243219s,10.2.2.1,10.1.2.1,62,
4.243339s,10.1.2.1,10.2.2.1,1502,1428
4.243460s,10.1.2.1,10.2.2.1,1502,1428
4.243460s,10.2.2.1,10.1.2.1,62,
4.243580s,10.1.2.1,10.2.2.1,1502,1428
4.243700s,10.1.2.1,10.2.2.1,1502,1428
4.243700s,10.2.2.1,10.1.2.1,62,
4.243820s,10.1.2.1,10.2.2.1,1502,1428
4.243940s,10.1.2.1,10.2.2.1,1502,1428
4.243940s,10.2.2.1,10.1.2.1,62,
4.244060s,10.1.2.1,10.2.2.1,1502,1428
4.244180s,10.1.2.1,10.2.2.1,1502,1428
4.244180s,10.2.2.1,10.1.2.1,62,
4.244301s,10.1.2.1,10.2.2.1,1502,1428
4.244421s,10.1.2.1,10.2.2.1,1502,1428
4.244421s,10.2.2.1,10.1.2.1,62,
4.244541s,10.1.2.1,10.2.2.1,1502,1428
4.244661s,10.1.2.1,10.2.2.1,1502,1428
4.244661s,10.2.2.1,10.1.2.1,62,
4.244781s,10.1.2.1,10.2.2.1,1502,1428
4.244784s,10.2.2.1,10.1.2.1,62,
4.244901s,10.1.2.1,10.2.2.1,1502,1428
