Time,Source,Destination,Length,data len
5.061673s,10.1.2.1,10.2.2.1,1502,1428
5.061793s,10.1.2.1,10.2.2.1,1502,1428
5.061795s,10.2.2.1,10.1.2.1,62,
5.061913s,10.1.2.1,10.2.2.1,1502,1428
5.062033s,10.1.2.1,10.2.2.1,1502,1428
5.062035s,10.2.2.1,10.1.2.1,62,
5.062153s,10.1.2.1,10.2.2.1,1502,1428
5.062273s,10.1.2.1,10.2.2.1,1502,1428
5.062276s,10.2.2.1,10.1.2.1,62,
5.062394s,10.1.2.1,10.2.2.1,1502,1428
5.062514s,10.1.2.1,10.2.2.1,1502,1428
5.062516s,10.2.2.1,10.1.2.1,62,
5.062634s,10.1.2.1,10.2.2.1,1502,1428
5.062754s,10.1.2.1,10.2.2.1,1502,1428
5.062803s,10.2.2.1,10.1.2.1,62,
5.062874s,10.1.2.1,10.2.2.1,1502,1428
5.062994s,10.1.2.1,10.2.2.1,1502,1428
5.063044s,10.2.2.1,10.1.2.1,62,
5.063115s,10.1.2.1,10.2.2.1,1502,1428
5.063235s,10.1.2.1,10.2.2.1,1502,1428
5.063237s,10.2.2.1,10.1.2.1,62,
5.063355s,10.1.2.1,10.2.2.1,1502,1428
5.063475s,10.1.2.1,10.2.2.1,1502,1428
5.063524s,10.2.2.1,10.1.2.1,62,
5.063595s,10.1.2.1,10.2.2.1,1502,1428
5.063715s,10.1.2.1,10.2.2.1,1502,1428
5.063718s,10.2.2.1,10.1.2.1,62,
5.063836s,10.1.2.1,10.2.2.1,1502,1428
5.063956s,10.1.2.1,10.2.2.1,1502,1428
5.063958s,10.2.2.1,10.1.2.1,62,
5.064076s,10.1.2.1,10.2.2.1,1502,1428
5.064196s,10.1.2.1,10.2.2.1,1502,1428
5.064245s,10.2.2.1,10.1.2.1,62,
5.064316s,10.1.2.1,10.2.2.1,1502,1428
5.064436s,10.1.2.1,10.2.2.1,1502,1428
5.064439s,10.2.2.1,10.1.2.1,62,
5.064557s,10.1.2.1,10.2.2.1,1502,1428
5.064677s,10.1.2.1,10.2.2.1,1502,1428
5.064679s,10.2.2.1,10.1.2.1,62,
5.064797s,10.1.2.1,10.2.2.1,1502,1428
5.064917s,10.1.2.1,10.2.2.1,1502,1428
5.064966s,10.2.2.1,10.1.2.1,62,
5.065037s,10.1.2.1,10.2.2.1,1502,1428
5.065157s,10.1.2.1,10.2.2.1,1502,1428
5.065160s,10.2.2.1,10.1.2.1,62,
5.065277s,10.1.2.1,10.2.2.1,1502,1428
5.065398s,10.1.2.1,10.2.2.1,1502,1428
5.065400s,10.2.2.1,10.1.2.1,62,
5.065518s,10.1.2.1,10.2.2.1,1502,1428
5.065638s,10.1.2.1,10.2.2.1,1502,1428
5.065687s,10.2.2.1,10.1.2.1,62,
5.065758s,10.1.2.1,10.2.2.1,1502,1428
5.065878s,10.1.2.1,10.2.2.1,1502,1428
5.065881s,10.2.2.1,10.1.2.1,62,
5.065998s,10.1.2.1,10.2.2.1,1502,1428
5.066119s,10.1.2.1,10.2.2.1,1502,1428
5.066121s,10.2.2.1,10.1.2.1,62,
5.066239s,10.1.2.1,10.2.2.1,1502,1428
5.066359s,10.1.2.1,10.2.2.1,1502,1428
5.066408s,10.2.2.1,10.1.2.1,62,
5.066479s,10.1.2.1,10.2.2.1,1502,1428
5.066599s,10.1.2.1,10.2.2.1,1502,1428
5.066648s,10.2.2.1,10.1.2.1,62,
5.066719s,10.1.2.1,10.2.2.1,1502,1428
5.066840s,10.1.2.1,10.2.2.1,1502,1428
5.066889s,10.2.2.1,10.1.2.1,62,
5.066960s,10.1.2.1,10.2.2.1,1502,1428
5.067080s,10.1.2.1,10.2.2.1,1502,1428
5.067129s,10.2.2.1,10.1.2.1,62,
5.067200s,10.1.2.1,10.2.2.1,1502,1428
5.067320s,10.1.2.1,10.2.2.1,1502,1428
5.067369s,10.2.2.1,10.1.2.1,62,
5.067440s,10.1.2.1,10.2.2.1,1502,1428
5.067561s,10.1.2.1,10.2.2.1,1502,1428
5.067610s,10.2.2.1,10.1.2.1,62,
5.067681s,10.1.2.1,10.2.2.1,1502,1428
5.067801s,10.1.2.1,10.2.2.1,1502,1428
5.067803s,10.2.2.1,10.1.2.1,62,
5.067921s,10.1.2.1,10.2.2.1,1502,1428
5.068041s,10.1.2.1,10.2.2.1,1502,1428
5.068090s,10.2.2.1,10.1.2.1,62,
5.068161s,10.1.2.1,10.2.2.1,1502,1428
5.068281s,10.1.2.1,10.2.2.1,1502,1428
5.068284s,10.2.2.1,10.1.2.1,62,
5.068402s,10.1.2.1,10.2.2.1,1502,1428
5.068522s,10.1.2.1,10.2.2.1,1502,1428
5.068524s,10.2.2.1,10.1.2.1,62,
5.068642s,10.1.2.1,10.2.2.1,1502,1428
5.068762s,10.1.2.1,10.2.2.1,1502,1428
5.068811s,10.2.2.1,10.1.2.1,62,
5.068882s,10.1.2.1,10.2.2.1,1502,1428
5.069002s,10.1.2.1,10.2.2.1,1502,1428
5.069005s,10.2.2.1,10.1.2.1,62,
5.069123s,10.1.2.1,10.2.2.1,1502,1428
5.069243s,10.1.2.1,10.2.2.1,1502,1428
5.069245s,10.2.2.1,10.1.2.1,62,
5.069363s,10.1.2.1,10.2.2.1,1502,1428
