Time,Source,Destination,Length,data len
4.064668s,10.2.1.1,10.1.1.1,62,
4.064786s,10.1.1.1,10.2.1.1,1502,1428
4.064789s,10.2.1.1,10.1.1.1,62,
4.064906s,10.1.1.1,10.2.1.1,1502,1428
4.064909s,10.2.1.1,10.1.1.1,62,
4.065027s,10.1.1.1,10.2.1.1,1502,1428
4.065029s,10.2.1.1,10.1.1.1,62,
4.065147s,10.1.1.1,10.2.1.1,1502,1428
4.065149s,10.2.1.1,10.1.1.1,62,
4.065267s,10.1.1.1,10.2.1.1,1502,1428
4.065269s,10.2.1.1,10.1.1.1,62,
4.065387s,10.1.1.1,10.2.1.1,1502,1428
4.065389s,10.2.1.1,10.1.1.1,62,
4.065507s,10.1.1.1,10.2.1.1,1502,1428
4.065510s,10.2.1.1,10.1.1.1,62,
4.065627s,10.1.1.1,10.2.1.1,1502,1428
4.065630s,10.2.1.1,10.1.1.1,62,
4.065748s,10.1.1.1,10.2.1.1,1502,1428
4.065750s,10.2.1.1,10.1.1.1,62,
4.065868s,10.1.1.1,10.2.1.1,1502,1428
4.065870s,10.2.1.1,10.1.1.1,62,
4.065988s,10.1.1.1,10.2.1.1,1502,1428
4.065990s,10.2.1.1,10.1.1.1,62,
4.066108s,10.1.1.1,10.2.1.1,1502,1428
4.066110s,10.2.1.1,10.1.1.1,62,
4.066228s,10.1.1.1,10.2.1.1,1502,1428
4.066230s,10.2.1.1,10.1.1.1,62,
4.066348s,10.1.1.1,10.2.1.1,1502,1428
4.066351s,10.2.1.1,10.1.1.1,62,
4.066468s,10.1.1.1,10.2.1.1,1502,1428
4.066471s,10.2.1.1,10.1.1.1,62,
4.066589s,10.1.1.1,10.2.1.1,1502,1428
4.066591s,10.2.1.1,10.1.1.1,62,
4.066709s,10.1.1.1,10.2.1.1,1502,1428
4.066711s,10.2.1.1,10.1.1.1,62,
4.066829s,10.1.1.1,10.2.1.1,1502,1428
4.066831s,10.2.1.1,10.1.1.1,62,
4.066949s,10.1.1.1,10.2.1.1,1502,1428
4.066951s,10.2.1.1,10.1.1.1,62,
4.067069s,10.1.1.1,10.2.1.1,1502,1428
4.067072s,10.2.1.1,10.1.1.1,62,
4.067189s,10.1.1.1,10.2.1.1,1502,1428
4.067192s,10.2.1.1,10.1.1.1,62,
4.067310s,10.1.1.1,10.2.1.1,1502,1428
4.067312s,10.2.1.1,10.1.1.1,62,
4.067430s,10.1.1.1,10.2.1.1,1502,1428
4.067432s,10.2.1.1,10.1.1.1,62,
4.067550s,10.1.1.1,10.2.1.1,1502,1428
4.067552s,10.2.1.1,10.1.1.1,62,
4.067670s,10.1.1.1,10.2.1.1,1502,1428
4.067672s,10.2.1.1,10.1.1.1,62,
4.067790s,10.1.1.1,10.2.1.1,1502,1428
4.067793s,10.2.1.1,10.1.1.1,62,
4.067910s,10.1.1.1,10.2.1.1,1502,1428
4.067913s,10.2.1.1,10.1.1.1,62,
4.068031s,10.1.1.1,10.2.1.1,1502,1428
4.068033s,10.2.1.1,10.1.1.1,62,
4.068151s,10.1.1.1,10.2.1.1,1502,1428
4.068153s,10.2.1.1,10.1.1.1,62,
4.068271s,10.1.1.1,10.2.1.1,1502,1428
4.068273s,10.2.1.1,10.1.1.1,62,
4.068391s,10.1.1.1,10.2.1.1,1502,1428
4.068393s,10.2.1.1,10.1.1.1,62,
