"No.","Time","D_Time","Source","Destination","Protocol","Length","Sequence num","Ack number","data len","Calculated window size","Info"
"3441","1.377085s","0.000014s","192.168.0.42","192.168.0.41","TCP","66","2","716761","","269440","49203 > 46745 [ACK] Seq=2 Ack=716761 Win=269440 Len=0 TSval=188776 TSecr=166833"
"3442","1.377089s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","716761","2","1448","29312","46745 > 49203 [ACK] Seq=716761 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3443","1.377101s","0.000012s","192.168.0.42","192.168.0.41","TCP","66","2","718209","","272256","49203 > 46745 [ACK] Seq=2 Ack=718209 Win=272256 Len=0 TSval=188776 TSecr=166833"
"3444","1.377105s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","718209","2","1448","29312","46745 > 49203 [ACK] Seq=718209 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3445","1.377116s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","2","719657","","275200","49203 > 46745 [ACK] Seq=2 Ack=719657 Win=275200 Len=0 TSval=188776 TSecr=166833"
"3446","1.377120s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","719657","2","1448","29312","46745 > 49203 [ACK] Seq=719657 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3447","1.377134s","0.000014s","192.168.0.42","192.168.0.41","TCP","66","2","721105","","278016","49203 > 46745 [ACK] Seq=2 Ack=721105 Win=278016 Len=0 TSval=188776 TSecr=166833"
"3448","1.377138s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","721105","2","1448","29312","46745 > 49203 [ACK] Seq=721105 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3449","1.377151s","0.000013s","192.168.0.42","192.168.0.41","TCP","66","2","722553","","280960","49203 > 46745 [ACK] Seq=2 Ack=722553 Win=280960 Len=0 TSval=188776 TSecr=166833"
"3450","1.377155s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","722553","2","1448","29312","46745 > 49203 [ACK] Seq=722553 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3451","1.377167s","0.000012s","192.168.0.42","192.168.0.41","TCP","66","2","724001","","283904","49203 > 46745 [ACK] Seq=2 Ack=724001 Win=283904 Len=0 TSval=188776 TSecr=166833"
"3452","1.377171s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","724001","2","1448","29312","46745 > 49203 [ACK] Seq=724001 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3453","1.377186s","0.000015s","192.168.0.42","192.168.0.41","TCP","66","2","725449","","286720","49203 > 46745 [ACK] Seq=2 Ack=725449 Win=286720 Len=0 TSval=188776 TSecr=166833"
"3454","1.377190s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","725449","2","1448","29312","46745 > 49203 [ACK] Seq=725449 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3455","1.377201s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","2","726897","","289664","49203 > 46745 [ACK] Seq=2 Ack=726897 Win=289664 Len=0 TSval=188776 TSecr=166833"
"3456","1.377205s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","726897","2","1448","29312","46745 > 49203 [ACK] Seq=726897 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3457","1.377217s","0.000012s","192.168.0.42","192.168.0.41","TCP","66","2","728345","","292608","49203 > 46745 [ACK] Seq=2 Ack=728345 Win=292608 Len=0 TSval=188776 TSecr=166833"
