Time,Source,Destination,Length,data len
4.029563s,10.1.0.1,10.2.0.1,1502,1448
4.029569s,10.2.0.1,10.1.0.1,82,
4.029683s,10.1.0.1,10.2.0.1,1502,1448
4.029690s,10.2.0.1,10.1.0.1,82,
4.029803s,10.1.0.1,10.2.0.1,1502,1448
4.029810s,10.2.0.1,10.1.0.1,82,
4.029924s,10.1.0.1,10.2.0.1,1502,1448
4.029930s,10.2.0.1,10.1.0.1,82,
4.030044s,10.1.0.1,10.2.0.1,1502,1448
4.030050s,10.2.0.1,10.1.0.1,82,
4.030164s,10.1.0.1,10.2.0.1,1502,1448
4.030170s,10.2.0.1,10.1.0.1,82,
4.030284s,10.1.0.1,10.2.0.1,1502,1448
4.030290s,10.2.0.1,10.1.0.1,82,
4.030404s,10.1.0.1,10.2.0.1,1502,1448
4.030411s,10.2.0.1,10.1.0.1,82,
4.030524s,10.1.0.1,10.2.0.1,1502,1448
4.030531s,10.2.0.1,10.1.0.1,82,
4.030645s,10.1.0.1,10.2.0.1,1502,1448
4.030651s,10.2.0.1,10.1.0.1,82,
4.030765s,10.1.0.1,10.2.0.1,1502,1448
4.030771s,10.2.0.1,10.1.0.1,82,
4.030885s,10.1.0.1,10.2.0.1,1502,1448
4.030891s,10.2.0.1,10.1.0.1,82,
4.031005s,10.1.0.1,10.2.0.1,1502,1448
4.031011s,10.2.0.1,10.1.0.1,82,
4.031125s,10.1.0.1,10.2.0.1,1502,1448
4.031132s,10.2.0.1,10.1.0.1,82,
